"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","138","testCart","POM-practice Suite","Fri Dec 26 22:06:19 UTC 2025","failed","Fri Dec 26 22:06:19 UTC 2025","com.globant.tests.RemoveItemsTest","Remove Items Tests","com.globant.tests.RemoveItemsTest","testCart"
"","10239","testCart","POM-practice Suite","Fri Dec 26 22:06:30 UTC 2025","broken","Fri Dec 26 22:06:40 UTC 2025","com.globant.tests.RemoveItemsTest","Remove Items Tests","com.globant.tests.RemoveItemsTest","testCart"
"","258","testPurchaseProduct","POM-practice Suite","Fri Dec 26 22:06:16 UTC 2025","failed","Fri Dec 26 22:06:17 UTC 2025","com.globant.tests.PurchaseTest","Purchase Tests","com.globant.tests.PurchaseTest","testPurchaseProduct"
"","15","testPurchaseProduct","POM-practice Suite","Fri Dec 26 22:06:17 UTC 2025","broken","Fri Dec 26 22:06:17 UTC 2025","com.globant.tests.PurchaseTest","Purchase Tests","com.globant.tests.PurchaseTest","testPurchaseProduct"
"","12","testPurchaseProduct","POM-practice Suite","Fri Dec 26 22:06:18 UTC 2025","broken","Fri Dec 26 22:06:18 UTC 2025","com.globant.tests.PurchaseTest","Purchase Tests","com.globant.tests.PurchaseTest","testPurchaseProduct"
"","10397","testLogout","POM-practice Suite","Fri Dec 26 22:07:02 UTC 2025","broken","Fri Dec 26 22:07:12 UTC 2025","com.globant.tests.LogoutTest","Log Out Tests","com.globant.tests.LogoutTest","testLogout"
"","13","testPurchaseProduct","POM-practice Suite","Fri Dec 26 22:06:17 UTC 2025","broken","Fri Dec 26 22:06:17 UTC 2025","com.globant.tests.PurchaseTest","Purchase Tests","com.globant.tests.PurchaseTest","testPurchaseProduct"
"","13","testPurchaseProduct","POM-practice Suite","Fri Dec 26 22:06:17 UTC 2025","broken","Fri Dec 26 22:06:17 UTC 2025","com.globant.tests.PurchaseTest","Purchase Tests","com.globant.tests.PurchaseTest","testPurchaseProduct"
"","10259","testCart","POM-practice Suite","Fri Dec 26 22:06:19 UTC 2025","broken","Fri Dec 26 22:06:29 UTC 2025","com.globant.tests.RemoveItemsTest","Remove Items Tests","com.globant.tests.RemoveItemsTest","testCart"
"","10231","testCart","POM-practice Suite","Fri Dec 26 22:06:40 UTC 2025","broken","Fri Dec 26 22:06:50 UTC 2025","com.globant.tests.RemoveItemsTest","Remove Items Tests","com.globant.tests.RemoveItemsTest","testCart"
"","10227","testCart","POM-practice Suite","Fri Dec 26 22:06:50 UTC 2025","broken","Fri Dec 26 22:07:01 UTC 2025","com.globant.tests.RemoveItemsTest","Remove Items Tests","com.globant.tests.RemoveItemsTest","testCart"
